Timestamp,Reviewer name,Example name,Example URL,How many lines long is the example?,Please select the programming concepts used in this example.,Please select the development and programming concepts this example demonstrates well.,"Copy and past the code into this analyzer:  https://editor.p5js.org/cfoss/full/T7fRjDnjW
Paste the output text here. Check for errors and edit as needed.","From the list above, which items are a clearly demonstrated focus of this example?","Please select all tags that describe this example (including its category, themes, end goal, etc.).","If there are any additional terms that could be used as tags to describe this example, list them here:",What senses are required to fully engage with what the sketch renders?,Is/are the color contrast(s) in the resulting render high enough so that the visitor can clearly understand what is being demonstrated? (Use the WebAIM Color Contrast checker at WCAG AA requirements.),"If there is a visual render, is the resulting render animated?","If there is a visual render and it is animated, does the animation automatically start when the page loads?","If there is a visual render and it is animated, does the render produce quick flashing lights? (See WCAG 2.3.1 for more information.)","If you have any additional notes on accessibility, include them here.",Is there a paragraph section above the example sketch?,Use the Hemmingway App to evaluate the reading level of the intro paragraph.,"If the paragraph contains any dev terms or concepts that should link to any p5.js Reference pages and/or external assisting content, such as MDN docs or W3C docs, please copy and paste the term or concept in the text input below.",Note any typos or spelling errors in the introductory paragraph.,"If the paragraph includes any content that does not read as both friendly & formal, note it here.","If the paragraph includes any content that does not translate well between generations and cultures, note it here.","If the paragraph includes any irrelevant/distracting content, note it here.","If you have any additional notes about the introduction paragraph, include them here.",How would you rate the number of comments in terms of assisting the reader through the code?,Note any typos or spelling errors in the comments.,"If the comments include any content that does not read as both friendly & formal, note the line number and content here.","If the comments include any content that does not translate well between generations and cultures, note the line number and content here.","If the comments include any irrelevant/distracting content, note the line number and content here.","If you have any additional notes about the comments, include them here.","What programming techniques or parts of the API, if any, do not need to be included in this example?",How fragile is the example with change?,"If you have any additional notes about the quality of the demonstration, include them here.",Are any variable and/or function names abbreviated?,How clear and descriptive are the names for variables and defined functions?,Does it use prototype syntax?,Are any variables declared using the var keyword?,"If there is anything about the code itself that appears out of date or could be better implemented and is not captured by the questions above, note that here.","Is the ""this"" keyword used?",Is the const keyword used?,What units are used for angles?,"If angles in degrees are used, which of these functions are called?",How many global variables are declared?,How many local variables are declared?,How many object properties (excluding functions) are declared?,How many object methods are declared (including constructor)?,Does it use arrow functions?,"Does it use variable increment/decrement/relative assignment operators?
",How would you label the difficulty of this example?,"If you have any additional notes about the skill level, include them here.","In your opinion, how would you rate the helpfulness of this example to someone learning creative coding through p5?","If you have any additional notes on this example not captured by the previous questions, include them here."
10/28/2023 12:40:25,Amy Chen, Responsive Text Color - Editor Link,https://editor.p5js.org/malayvasa2001/sketches/wAO-2_vcL,30,"if/else, custom variables","if/else, custom variables","background, CENTER, colorMode, createCanvas, draw, fill, height, HSB, map, mouseX, mouseY, setup, text, textAlign, textSize, width","HSB, map, mouseX, mouseY, colorMode",interactivity,,"Visual, Interactive/Kinesthetic","There is multiple lines of text, the text on the bottom fails. ",No,,,,No,,,,,,,,1,,,,,"Add comments that explain lines 12+13, 16, 25",,2,"As I am remixing the code, I do not see any differences being made in terms of interactivity. ",Yes,3,No,No,Comments explaining the abbreviations would be helpful. ,No,No,N/A,N/A or neither,3,2,0,0,No,Yes,Beginner,,8,
10/31/2023 14:22:51,Lance Cole,3D Primitives3D Primitives,https://p5js.org/examples/form-3d-primitives.html,24,method calling,method calling,"background, box, createCanvas, draw, fill, height, noFill, noStroke, pop, push, rotateX, rotateY, setup, sphere, stroke, translate, WEBGL","background, box, createCanvas, draw, fill, height, noFill, noStroke, pop, push, rotateX, rotateY, setup, sphere, stroke, translate, WEBGL",3D,,Visual,No,,,,Either the grey background or the dark grey cube color needs to be changed for better contrast.,Yes,Grades 7 and above,"box, sphere, translate, (potentially) any documentation on world and object space, how coordinates and object placement works",,,,,,1,,,,,,,1,,No,5,No,No,,No,No,Degrees,N/A or neither,0,0,0,0,No,No,Intermediate,,6,
10/24/2023 0:40:21,Kathryn,Acceleration Ball Bounce,https://p5js.org/examples/mobile-acceleration-ball-bounce.html,53,"custom variables, custom functions",custom functions,"accelerationX, accelerationY, background, createCanvas, displayHeight, displayWidth, draw, ellipse, fill, height, setup, width","accelerationX, accelerationY, displayHeight, displayWidth","animation, mobile, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,No,,,Yes,Grade 6,"accelerationX, accelerationY",Not a full sentence.,,,,Too short to analyze.,3,,,,,,,5,"Bugged out when I tried on my phone, couldn't get the animation to load.",Yes,1,No,No,,No,No,N/A,N/A or neither,8,0,0,0,No,No,Advanced,,4,"If the animation worked, I'd rate it higher."
10/24/2023 0:59:41,Kathryn,Acceleration Color,https://p5js.org/examples/mobile-acceleration-color.html,19,custom variables,none of the above,"accelerationX, accelerationY, accelerationZ, background, createCanvas, deviceMoved, displayHeight, displayWidth, draw, log, map, random, setup","accelerationX, accelerationY, accelerationZ, deviceMoved, displayHeight, displayWidth, log, map, random",interactivity,,"Visual, Interactive/Kinesthetic","No text/background contrast, but bright colors.",No,,,,Yes,Grades 7 and above,"deviceMoved(), accelerationX, accelerationY, accelerationZ",,,,,,1,,,,,,,4,"Shouldn't be mobile only (goes for the other mobile demonstrations as well). Buggy, interaction didn't work.",No,2,No,No,,No,No,N/A,N/A or neither,3,0,0,0,No,No,Intermediate,,5,"If it worked, and if it wasn't mobile only, would be cool."
10/26/2023 9:45:49,Darren Kessner,Additive Wave,https://p5js.org/examples/math-additive-wave.html,65,"if/else, for loop, custom variables, custom functions","for loop, custom variables, custom functions","background, CENTER, colorMode, cos, createCanvas, draw, ellipse, ellipseMode, fill, floor, frameRate, noStroke, PI, random, RGB, setup, sin, TWO_PI, width","sin, cos","animation, math",,Visual,low contrast due to transparency (alpha),Yes,Yes,No,,Yes,Grade 6,"sin, cos",,,,,Author credit: Create a more complex wave by adding two waves together. Original by Daniel Shiffman,5,,,,,,Unnecessary global array,3,,Yes,5,No,No,,No,No,Radians,N/A or neither,6,6,0,0,No,Yes,Intermediate,"Global array and custom functions are unnecessary.  But this implementation makes sense in the context of the previous ""Sine Wave""",5,
10/29/2023 13:23:45,Darren Kessner,Additive Wave : Editor Link,https://editor.p5js.org/malayvasa2001/sketches/O_mktBiqU,66,"for loop, custom variables, custom functions, custom classes, method calling, object property assignment","for loop, custom variables, custom functions, custom classes, method calling, object property assignment","background, CENTER, createCanvas, draw, ellipse, fill, log, noStroke, PI, setup, sin, text, textAlign, textSize, TWO_PI, width",sin,"animation, math",,Visual,Yes,Yes,Yes,No,,No,,,,,,,,1,,,,,,,3,This a good visual mathematical demo of adding sin waves.,No,5,No,No,,No,No,Radians,N/A or neither,1,2,3,5,No,Yes,Advanced,Advanced for the mathematical concepts,7,
10/26/2023 23:52:18,Lance Cole,Alpha Mask,https://p5js.org/examples/image-alpha-mask.html,20,"custom variables, method calling","custom variables, method calling","background, CENTER, createCanvas, draw, height, image, imageMode, loadImage, mouseX, mouseY, preload, setup, width","background, CENTER (somewhat), createCanvas, draw, image, imageMode, loadImage, mouseX, mouseY, preload, setup, width",interactivity,"image, image loading, transparency, alpha, masking","Visual, Interactive/Kinesthetic",Depends on the image being used,No,No,No,,Yes,Grades 7 and above,,,,,,"I would give a primer on how the code of the patch works. For example, explaining that the image is loaded, centered to the middle of the screen, and then in draw(), the image is constantly redrawn at the mouse cursor's x/y position to mimic ""following"" the mouse.",1,,,,,"Would love comments explaining what imgMask does and how it
assigned/what type it is (if you're at types at this point of the examples), and also how the image is ""moving"" around to the user's cursor. Also, a comment on what background is doing here, why is it in draw() instead of setup(), how only part of the background is showing through the picture, etc.",,1,,Yes,4,No,No,,No,No,N/A,N/A or neither,2,0,0,0,No,No,Beginner,"Same as the other image examples. Easy on its own, difficult with local servers if this is some sort of focus of the sketch.",8,
10/24/2023 13:41:30,Amy Chen,Animation,https://p5js.org/examples/hello-p5-animation.html,28,if/else,if/else,"background, createCanvas, draw, ellipse, fill, height, random, setup, stroke, width",none,animation,,Visual,Yes,Yes,Yes,No,,No,,,,,,,,5,,,,,,,2,,Yes,5,No,No,,No,No,N/A,N/A or neither,2,0,0,0,No,No,Beginner,,10,
10/31/2023 13:27:48,Amy Chen,Animation - Revised,https://p5js.org/examples/hello-p5-animation.html,28,custom variables,none of the above,"background, createCanvas, draw, ellipse, fill, height, random, setup, stroke, width","ellipse, height, random,",animation,,"Visual, Interactive/Kinesthetic",Yes,Yes,Yes,No,"Suggestion - Enlarging the circle and slowing down the speed would be helpful. The jiggling is important to show as an example, but it is distracting. ",No,,,,,,,,4,,"The comments are done as phrases instead of sentences that come off as unfriendly, adding some more to the phrases to explain the functionality more would be more welcoming. ",,,Line 6 - Clarifying that the circle starts in the middle,,1,,Yes,5,No,No,,No,No,N/A,N/A or neither,2,0,0,0,No,No,Beginner,,10,
10/26/2023 10:14:52,Darren Kessner,Arctangent,https://p5js.org/examples/math-arctangent.html,41,"custom variables, custom functions, custom classes, method calling","custom variables, method calling","atan2, background, createCanvas, draw, ellipse, fill, mouseX, mouseY, noStroke, pop, push, rotate, setup, translate","push, pop, translate, rotate, atan2","animation, math, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,Yes,No,,Yes,Grade 5 and below,"push, pop, translate, rotate, atan2, Javascript objects (?)",,,,,,1,,,,,,Classes/objects are unnecessary for demonstrating atan2. ,5,This is a cute and engaging example.   It's a good example of classes/objects and interactivity with the mouse.   But it's too complicated for demonstrating atan2.,Yes,4,function syntax for object construction,No,class syntax may be better,Yes,No,Radians,N/A or neither,3,0,4,2,No,No,Advanced,,6,
